"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"St Helens",NA,1215,1194,1155,1203,4.15584415584416,NA,82.7942188575361
"Hertsmere",NA,1201,1247,1103,1199,8.70353581142341,NA,61.9958634953464
"Rochdale",NA,960,1050,1087,1161,6.80772769089238,NA,92.88
"Carlisle",NA,1166,1109,1243,1154,-7.16009654062752,NA,70.7975460122699
"Broxbourne",NA,635,696,956,1127,17.8870292887029,NA,65.983606557377
"Herefordshire",NA,1460,656,685,1127,64.5255474452555,NA,21.1325707856741
"Trafford",NA,1075,1052,931,1127,21.0526315789474,NA,45.4985870004037
"Chiltern",NA,NA,NA,1087,1124,3.40386384544618,NA,45.3591606133979
"Gravesham",NA,900,1012,1035,1110,7.24637681159422,NA,44.9029126213592
"North East Lincolnshire",NA,1112,1026,1177,1046,-11.1299915038233,NA,56.4185544768069
"Barnsley",NA,995,1046,1019,1017,-0.196270853778216,NA,46.9745958429561
"North Norfolk",NA,857,902,926,1008,8.85529157667386,NA,37.93752352277
"Rotherham",NA,783,819,919,1000,8.8139281828074,NA,70.5218617771509
"Sutton",NA,800,854,974,993,1.95071868583163,NA,44.9118046132972
"Derbyshire Dales",NA,518,671,925,981,6.05405405405406,NA,39.7648966355898
"Central Bedfordshire",NA,0,1128,930,980,5.3763440860215,NA,52.7448869752422
"Wyre Forest",NA,981,938,959,976,1.77267987486967,NA,65.0666666666667
"South Gloucestershire",NA,947,1097,923,973,5.41711809317442,NA,130.779569892473
"Wokingham",NA,839,1146.9497496,950,963,1.36842105263158,NA,43.5352622061483
"Lancaster",NA,1124,1296,1236,962,-22.168284789644,NA,30.6467027715833
"Brentwood",NA,874,903,1021,958,-6.17042115572968,NA,45.0823529411765
"Barrow-in-Furness",NA,388,392,422,940,122.748815165877,NA,132.022471910112
"Lichfield",NA,844,769,856,937,9.46261682242991,NA,43.2794457274827
"East Staffordshire",NA,791,962,829,916,10.4945717732208,NA,80.704845814978
"North West Leicestershire",NA,782,893,849,911,7.30270906949353,NA,150.827814569536
"South Tyneside",NA,745,729,1030,896,-13.0097087378641,NA,52.3670368205728
"Arun",NA,1260,869,936,891,-4.80769230769231,NA,55.8971141781681
"North Lincolnshire",NA,764,729.28814,755.9638,880,16.4076904211551,NA,107.05596107056
"South Somerset",NA,894,935,935,854,-8.66310160427808,NA,42.4453280318091
"Harborough",NA,736,766,874,823,-5.83524027459954,NA,52.6214833759591
"Eastleigh",NA,1132,1328,800,810,1.25,NA,33.4987593052109
"Thurrock",NA,720,689,724,804,11.0497237569061,NA,63.7083993660856
"Newark & Sherwood",NA,704,720,713,793,11.2201963534362,NA,54.954954954955
"Kettering",NA,NA,NA,618,771,24.757281553398,NA,106.0522696011
"North Tyneside",NA,576,769,736,764,3.80434782608697,NA,23.2501521606817
"Dartford",NA,823,799,824,745,-9.58737864077671,NA,95.3905249679898
"Epping Forest",NA,834,787,710,721,1.54929577464789,NA,45.3174104336895
"West Devon",NA,579,767,702,721,2.70655270655271,NA,63.0244755244755
"Tameside",NA,1336.91228,595,781,709,-9.21895006402048,NA,34.5180136319377
"Tendring",NA,667,626,750,678,-9.59999999999999,NA,81.6867469879518
"Charnwood",NA,577,608,619,677,9.36995153473343,NA,75.3897550111359
"Lewes",NA,539,569,602,673,11.7940199335548,NA,73.6323851203501
"Rother",NA,591,618,615,671,9.10569105691057,NA,42.2544080604534
"Bassetlaw",NA,750,675,676,659,-2.51479289940828,NA,60.9620721554117
"Wealden",NA,570,562,584,649,11.1301369863014,NA,338.020833333333
"Knowsley",NA,621,623,681,639,-6.16740088105728,NA,80.9885931558935
"Bromsgrove",NA,582,581,647,635,-1.854714064915,NA,55.3618134263296
"Torridge",NA,568,570,638,633,-0.78369905956113,NA,48.4315225707728
"Burnley",NA,614,600,619,625,0.969305331179314,NA,69.2137320044297
"South Kesteven",NA,635,702,694,593,-14.5533141210375,NA,44.6536144578313
"Craven",NA,447,462,552.97,585,5.79235763242126,NA,36.1111111111111
"Rochford",NA,544,555,594,578,-2.6936026936027,NA,35.4601226993865
"Runnymede",NA,528,516,534,558,4.49438202247192,NA,49.7326203208556
"Cannock Chase",NA,461,478,566,554,-2.12014134275618,NA,69.9494949494949
"South Oxfordshire",NA,675,696,993,543,-45.3172205438066,NA,-50.0460829493088
"Vale of White Horse",NA,308,205,549,537,-2.18579234972678,NA,112.578616352201
"Stroud",NA,610,546,886,535,-39.6162528216704,NA,62.5
"High Peak",NA,525,530,473,532,12.4735729386892,NA,44.8188711036226
"Braintree",NA,476,420,477,528,10.6918238993711,NA,44.0734557595993
"Hart",NA,723,766,721,527,-26.9070735090153,NA,57.4700109051254
"Adur",NA,372,455,416,519,24.7596153846154,NA,73.2016925246827
"Three Rivers",NA,457,332,514.68,515,0.0621745550633221,NA,111.713665943601
"Hambleton",NA,316,415,449,514,14.4766146993319,NA,72.8045325779037
"Mid Devon",NA,362.021,385.5,442,509,15.158371040724,NA,63.8644918444166
"South Bucks",NA,NA,NA,460,508,10.4347826086957,NA,41.3008130081301
"Newcastle-under-Lyme",NA,479,467,507,507,0,NA,64.9167733674776
"Ribble Valley",NA,433,454,425,506,19.0588235294118,NA,76.0902255639098
"Hinckley & Bosworth",NA,487,484,489,503,2.86298568507158,NA,78.2270606531882
"Sedgemoor",NA,455,479,520,496,-4.61538461538461,NA,37.5189107413011
"Basildon",NA,477,695,449,494,10.0222717149221,NA,72.9689807976366
"Uttlesford",NA,369,424,440,475,7.95454545454545,NA,44.3097014925373
"Preston",NA,691,575,615,455,-26.0162601626016,NA,59.8684210526316
"Staffordshire Moorlands",NA,399,439,453,453,0,NA,63.0041724617524
"Wyre",NA,436,392,424,449,5.89622641509433,NA,78.3595113438045
"Gedling",NA,464,417,421,442,4.98812351543943,NA,132.335329341317
"West Oxfordshire",NA,560,372,356,434,21.9101123595506,NA,152.816901408451
"Gosport",NA,427,403,418,430,2.87081339712918,NA,46.2365591397849
"Babergh",NA,316,353,522,417,-20.1149425287356,NA,269.032258064516
"Amber Valley",NA,406,405,417,414,-0.719424460431654,NA,51.0480887792848
"Castle Point",NA,395,311,325,404,24.3076923076923,NA,33.5827098919368
"Chorley",NA,403.45808,447.02335,407,380,-6.63390663390663,NA,77.7096114519427
"Boston",NA,190,342,406,378,-6.89655172413794,NA,36.5217391304348
"Broxtowe",NA,340,315,359,376,4.73537604456824,NA,114.634146341463
"Mid Suffolk",NA,209,93,271,361,33.210332103321,NA,55.7098765432099
"Rushcliffe",NA,301,356,331,361,9.06344410876132,NA,40.9297052154195
"Fylde",NA,331,335,325,349,7.38461538461539,NA,49.2937853107345
"Copeland",NA,635.959,NA,414,332,-19.8067632850241,NA,72.0173535791757
"Rutland",NA,272,278,280,332,18.5714285714286,NA,57.1428571428571
"West Lancashire",NA,371,344,316,332,5.0632911392405,NA,17.6689728579031
"Erewash",NA,315,313,317,329,3.78548895899054,NA,72.4669603524229
"Rugby",NA,306,304,336,314,-6.54761904761905,NA,68.1127982646421
"Wellingborough",NA,NA,NA,307,313,1.95439739413681,NA,NA
"Maldon",NA,269,297,284,311,9.50704225352112,NA,26.2890955198648
"Tewkesbury",NA,293,284,220,300,36.3636363636363,NA,46.2249614791988
"Harlow",NA,246,247,260,288,10.7692307692308,NA,49.5697074010327
"West Lindsey",NA,149,228,299,276,-7.69230769230769,NA,94.5205479452055
"Ryedale",NA,263,189,346,275,-20.5202312138728,NA,32.0512820512821
"Breckland",NA,197,213,222,266,19.8198198198198,NA,NA
